Time,Input,Output
454.583,0,50.75
455.584,0,50.75
456.585,0,50.75
457.586,0,50.75
458.587,0,50.75
459.588,0,50.75
460.59,0,50.75
461.59,0,50.75
462.591,0,50.75
463.592,0,50.75
464.593,0,50.75
465.594,0,50.75
466.595,0,50.75
467.596,0,50.75
468.597,0,50.75
469.598,0,50.75
470.599,0,50.75
471.6,0,50.75
472.601,0,50.75
473.602,0,50.75
474.603,0,50.75
475.604,0,50.75
476.605,0,50.75
477.606,0,50.75
478.608,0,50.75
479.608,0,50.75
480.61,0,50.75
481.61,0,50.75
482.611,0,50.75
483.612,0,50.75
484.613,0,50.75
485.614,0,50.75
486.615,0,50.75
487.616,0,50.75
488.617,0,50.75
489.618,0,50.75
490.619,0,50.75
491.62,0,50.75
492.621,0,50.75
493.622,0,50.75
494.623,0,50.75
495.624,0,50.75
496.625,0,50.75
497.626,0,50.75
498.627,0,50.75
499.628,0,50.75
500.629,0,50.75
501.63,0,50.75
502.631,0,50.75
503.632,0,50.75
504.633,0,50.75
505.634,0,50.75
506.635,0,50.75
507.636,0,50.75
508.637,0,50.75
509.638,0,50.75
510.639,0,50.75
511.64,0,50.75
512.641,0,50.75
513.642,0,50.75
514.643,0,50.75
515.644,0,50.75
516.645,0,50.75
517.646,0,50.75
518.647,0,50.75
519.648,0,50.75
520.649,0,50.75
521.65,0,50.75
522.651,0,50.75
523.652,0,50.75
524.653,0,50.75
525.654,0,50.75
526.655,0,50.75
527.656,0,50.75
528.657,0,50.75
529.658,0,50.75
530.659,0,50.75
531.66,0,50.75
532.661,0,50.75
533.662,0,50.75
534.663,0,50.75
535.664,0,50.75
536.665,0,50.75
537.666,0,50.75
538.667,0,50.75
539.669,0,50.75
540.669,0,50.75
541.67,0,50.75
542.671,0,50.75
543.672,0,50.75
544.673,0,50.5
545.674,0,50.75
546.675,0,50.75
547.676,0,50.5
548.677,0,50.75
549.678,0,50.75
550.679,0,50.5
551.68,0,50.75
552.682,0,50.75
553.682,0,50.75
554.683,0,50.75
555.684,0,50.5
556.686,0,50.5
557.686,0,50.75
558.687,0,50.75
559.688,0,50.75
560.689,0,50.5
561.691,0,50.75
562.691,0,50.75
563.693,0,50.5
564.693,0,50.75
565.694,0,50.75
566.695,0,50.5
567.696,0,50.5
568.697,0,50.5
569.698,0,50.5
570.699,0,50.75
571.701,0,50.75
572.701,0,50.5
573.702,0,50.75
574.703,0,50.75
575.704,0,50.75
576.705,0,50.75
577.706,0,50.5
578.707,0,50.5
579.708,0,50.5
580.71,0,50.5
581.711,0,50.5
582.711,0,50.5
583.712,0,50.5
584.714,0,50.5
585.714,0,50.5
586.716,0,50.5
587.716,0,50.5
588.717,0,50.5
589.718,0,50.5
590.719,0,50.5
591.72,0,50.5
592.721,0,50.5
593.723,0,50.5
594.723,0,50.5
595.724,0,50.5
596.725,0,50.5
597.726,0,50.5
598.727,0,50.5
599.729,0,50.5
600.729,0,50.5
601.731,0,50.5
602.732,0,50.5
603.732,0,50.5
604.733,0,50.5
605.735,0,50.5
606.736,0,50.5
607.737,0,50.5
608.737,0,50.5
609.738,0,50.5
610.74,0,50.5
611.741,0,50.5
612.742,0,50.5
613.743,0,50.5
614.743,0,50.5
615.744,0,50.5
616.745,0,50.5
617.747,0,50.5
618.748,0,50.5
619.749,0,50.5
620.749,0,50.5
621.751,0,50.5
622.752,0,50.5
623.753,0,50.5
624.753,0,50.5
625.755,0,50.5
626.756,0,50.5
627.757,0,50.5
628.757,0,50.5
629.759,0,50.5
630.76,0,50.5
631.761,0,50.5
632.762,0,50.5
633.763,0,50.5
634.763,0,50.5
635.764,0,50.5
636.766,0,50.5
637.767,0,50.5
638.768,0,50.5
639.768,0,50.5
640.77,0,50.5
641.771,0,50.5
642.772,0,50.5
643.773,0,50.5
644.774,0,50.5
645.775,0,50.5
646.776,0,50.5
647.777,0,50.5
648.778,0,50.5
649.778,0,50.5
650.779,0,50.5
651.781,0,50.5
652.782,0,50.5
653.783,0,50.5
654.784,0,50.5
655.785,0,50.5
656.786,0,50.5
657.787,0,50.5
658.788,0,50.5
659.788,0,50.5
660.789,0,50.5
661.791,0,50.5
662.792,0,50.5
663.793,0,50.5
664.794,0,50.5
665.795,0,50.5
666.796,0,50.5
667.797,0,50.25
668.798,0,50.25
669.799,0,50.5
670.8,0,50.5
671.801,0,50.5
672.802,0,50.25
673.803,0,50.25
674.804,0,50.25
675.805,0,50.25
676.806,0,50.25
677.807,0,50.25
678.808,0,50.5
679.809,0,50.25
680.81,0,50.25
681.811,0,50.25
682.812,0,50.25
683.813,0,50.25
684.814,0,50.25
685.815,0,50.5
686.816,0,50.25
687.817,0,50.25
688.818,0,50.25
689.819,0,50.25
690.82,0,50.25
691.821,0,50.25
692.822,0,50.5
693.823,0,50.25
694.824,0,50.25
695.825,0,50.25
696.826,0,50.25
697.827,0,50.25
698.828,0,50.25
699.829,0,50.25
700.83,0,50.25
701.831,0,50.25
702.832,0,50.25
703.833,0,50.25
704.834,0,50.25
705.835,0,50.25
706.836,0,50.25
707.837,0,50.25
708.838,0,50.25
709.839,0,50.25
710.84,0,50.25
711.841,0,50.25
712.842,0,50.25
713.843,0,50.25
714.844,0,50.25
715.845,0,50.25
716.846,0,50.25
717.847,0,50.25
718.848,0,50.25
719.849,0,50.25
720.85,0,50.25
721.851,0,50.25
722.852,0,50.25
723.853,0,50.25
724.854,0,50.25
725.855,0,50.25
726.856,0,50.25
727.857,0,50.25
728.858,0,50.25
729.859,0,50.25
730.86,0,50.25
731.861,0,50.25
732.862,0,50.25
733.863,0,50.25
734.864,0,50.25
735.865,0,50.25
736.866,0,50.25
737.867,0,50.25
738.868,0,50.25
739.869,0,50.25
740.87,0,50.25
741.871,0,50.25
742.872,0,50.25
743.873,0,50
744.874,0,50.25
745.875,0,50.25
746.876,0,50.25
747.877,0,50.25
748.878,0,50.25
749.879,0,50.25
750.88,0,50.25
751.881,0,50.25
752.882,0,50.25
753.883,0,50.25
754.884,0,50.25
755.885,0,50.25
756.886,0,50.25
757.887,0,50.25
758.888,0,50.25
759.889,0,50.25
760.89,0,50.25
761.891,0,50
762.892,0,50.25
763.893,0,50
764.894,0,50.25
765.895,0,50.25
766.896,0,50
767.897,0,50
768.898,0,50
769.899,0,50
770.9,0,50.25
771.901,0,50.25
772.902,0,50.25
773.903,0,50.25
774.904,0,50.25
775.905,0,50
776.906,0,50
777.907,0,50.25
778.908,0,50
779.909,0,50
780.91,0,50.25
781.911,0,50
782.912,0,50
783.913,0,50.25
784.914,0,50
785.915,0,50
786.916,0,50.25
787.917,0,50
788.918,0,50
789.919,0,50
790.92,0,50.25
791.921,0,50
792.922,0,50
793.923,0,50
794.924,0,50
795.925,0,50
796.926,0,50
797.927,0,50
798.928,0,50
799.929,0,50
800.93,0,50
801.931,0,50
802.932,0,50
803.933,0,50
804.934,0,50
805.935,0,50
806.936,0,50
807.937,0,50
808.938,0,50
809.939,0,50
810.94,0,50
811.941,0,50
812.942,0,50
813.943,0,50
814.944,0,50
815.945,0,50
816.946,0,50
817.947,0,50
818.948,0,50
819.949,0,50
820.95,0,50
821.951,0,50
822.952,0,50
823.953,0,50
824.954,0,50
825.955,0,50
826.956,0,50
827.957,0,50
828.958,0,50
829.959,0,50
830.96,0,50
831.961,0,50
832.962,0,50
833.963,0,50
834.964,0,50
835.965,0,50
836.966,0,50
837.967,0,50
838.968,0,50
839.969,0,50
840.97,0,50
841.971,0,50
842.972,0,50
843.973,0,50
844.974,0,50
845.975,0,50
846.976,0,50
847.977,0,50
848.978,0,50
849.979,0,50
850.98,0,50
851.981,0,50
852.982,0,50
853.983,0,50
854.984,0,50
855.985,0,50
856.986,0,49.75
857.987,0,50
858.988,0,49.75
859.989,0,50
860.99,0,49.75
861.991,0,50
862.992,0,50
863.993,0,50
864.994,0,50
865.995,0,49.75
866.996,0,50
867.997,0,49.75
868.998,0,49.75
869.999,0,49.75
871,0,49.75
872.001,0,49.75
873.002,0,49.75
874.003,0,50
875.004,0,50
876.005,0,49.75
877.006,0,49.75
878.007,0,49.75
879.008,0,49.75
880.009,0,49.75
881.01,0,49.75
882.011,0,49.75
883.012,0,49.75
884.013,0,49.75
885.014,0,49.75
886.015,0,49.75
887.016,0,49.75
888.017,0,49.75
889.018,0,49.75
890.019,0,49.75
891.02,0,49.75
892.021,0,49.75
893.022,0,49.75
894.023,0,49.75
895.024,0,49.75
896.025,0,49.75
897.026,0,49.75
898.027,0,49.75
899.028,0,49.75
900.029,0,49.75
901.03,0,49.75
902.031,0,49.75
903.032,0,49.75
904.033,0,49.75
905.034,0,49.75
906.035,0,49.75
907.036,0,49.75
908.037,0,49.75
909.038,0,49.75
910.039,0,49.75
911.04,0,49.75
912.041,0,49.75
913.042,0,49.75
914.043,0,49.75
915.044,0,49.75
916.045,0,49.75
917.046,0,49.75
918.047,0,49.75
919.048,0,49.75
920.049,0,49.75
921.05,0,49.75
922.051,0,49.75
923.052,0,49.75
924.053,0,49.75
925.054,0,49.75
926.055,0,49.75
927.056,0,49.75
928.057,0,49.75
929.058,0,49.75
930.059,0,49.75
931.06,0,49.75
932.061,0,49.75
933.062,0,49.75
934.063,0,49.75
935.064,0,49.75
936.065,0,49.75
937.066,0,49.75
938.067,0,49.75
939.068,0,49.75
940.069,0,49.75
941.07,0,49.75
942.071,0,49.75
943.072,0,49.75
944.073,0,49.5
945.074,0,49.75
946.075,0,49.75
947.076,0,49.5
948.077,0,49.75
949.078,0,49.75
950.079,0,49.75
951.08,0,49.75
952.081,0,49.75
953.082,0,49.75
954.083,0,49.5
955.084,0,49.5
956.085,0,49.5
